회사명,종목코드,아랫선,윗선,스크린중단
삼성전자우,5935,49000,,
현대자동차,5380,105000,,
현대차우,5385,80000,90000,O
,,,,
맥쿼리인프라,88980,11100,,
KT&G,33780,82000,87500,
,,,,
KB금융,105560,37000,40000,
신한지주,55550,28000,32000,
하나금융지주,86790,27500,,
현대차증권,1500,9500,11000,
,,,,
SK텔레콤,17670,240000,250000,
,,,,
하이트진로,80,36000,,
하진2우B,87,20000,,
샘표식품,248170,30000,,
CJ제일제당우,97955,160000,170000,
,,,,
고려아연,10130,361000,,
KMW,32500,71000,,
쌍용양회우,3415,20000,,
태림포장,11280,3600,,
,,,,
LG생활건강,51900,1300000,,
이크레더블,92130,,,O
두산우,155,32000,38700,O
두산인프라코어,42670,,8150,O
,,,,
End,,,,
